Final seed:  1016249662

x, phi, theta
(0.3579938284489312, 3.6257715658348064, 1.7255319984510258)
(2.485454148260284, 3.1390020926533575, 1.5699717255446173)
(0.4541655596006116, 5.843930975811292, 2.6064208102306603)
(1.5978706294200082, 0.45178480110985847, 0.5429419074656698)
(1.1149836438975724, 3.9722785250354633, 1.8383941540875628)
(0.7093001752414974, 2.0975005512454707, 1.2320076806321651)
(0.5454029505013961, 0.4179331781088591, 0.5217110205747997)
(0.4163416476026973, 1.3657866067437219, 0.9700520190115742)
(0.7441318397745798, 3.946953265513712, 1.8300448344712918)
(0.05379230134510256, 1.8290937441735347, 1.1397943248306432)
(0.8180404584431183, 1.882185879343575, 1.1583173446872264)
(0.47618899389081376, 0.04835423943941989, 0.17567742622176938)
(1.171271449693309, 0.47408060452189765, 0.556525770562289)
(0.8240872402265871, 5.808786488717012, 2.584875161184929)
(0.7075331396673651, 6.2752330512715, 3.070425943784541)
(0.3125357989483829, 2.249217286617513, 1.2827788731358873)
(0.7580733079831287, 2.420777266647821, 1.3392912948857487)
(0.6215506723666449, 3.8517906521695933, 1.798830519836583)
(1.4673194397397618, 3.980560841594835, 1.8411288191929622)
(0.701170441624981, 4.186329245957005, 1.9098024926329265)
(1.1499401918030203, 4.919064339462517, 2.1721834961232105)
(0.2875093452836176, 3.5907494313570334, 1.714258976950838)
(0.7690208116008483, 0.7678605758310203, 0.7142535941495242)
(0.5020575633975811, 6.247139421166786, 2.9899630360509617)
(0.3804066114547678, 0.7348390476584241, 0.698055430681658)
(0.34301911488711345, 2.9687685565379285, 1.5157569235344739)
(1.3005203430774903, 1.768384719750567, 1.1184182204321294)
(1.049710961768802, 1.9112587780332704, 1.168396684520003)
(0.6364001498176717, 0.039911573892260445, 0.15956966944064624)
(2.527872090583637, 0.34375757729436734, 0.4721806895663418)
(0.9569772987060661, 3.5388058712071633, 1.697572543733482)
(1.1384866691982576, 4.040522041313443, 1.8609903185074965)
(0.6510213833886714, 2.08623940431945, 1.228204556736262)
(0.7863035206185429, 3.1807348693550206, 1.583256003418326)
(1.377572160302096, 5.305222275643324, 2.3304973411227587)
(0.21021116762659772, 2.261984089311919, 1.2870146113333585)
(0.6828774408630276, 4.4465089557754025, 1.9991433778357142)
(1.8850988608051789, 4.9931440474598086, 2.201071537497057)
(1.1286425662992157, 3.996343891711613, 1.8463458483513429)
(0.9872137408208135, 5.532870662119667, 2.435907593130786)
(0.32931922593370994, 3.6043717631735754, 1.718641509029965)
(1.389728403042473, 0.41313362184410113, 0.518637276661106)
(0.5898687221551939, 1.4601768461551858, 1.0060384873238106)
(0.7752025001158944, 4.105047287966843, 1.8824962985214837)
(2.6754527568527156, 0.3027782589945894, 0.44264313923278487)
(0.09967927474055423, 1.2041681001094282, 0.9062508601035965)
(1.8776655515836704, 2.180716018803088, 1.259958381951315)
(0.08876249079796544, 5.051589061325694, 2.224298534183561)
(1.0556129601447874, 0.011354697611375811, 0.08504694955548202)
(1.0668362633015114, 3.8358833637349052, 1.7936356181624407)
(0.19937052861772722, 0.996492252454145, 0.819198961181742)
(0.1681643561851616, 4.464005243884389, 2.0052743745216035)
(0.08704470356159022, 0.9120842916126898, 0.781760160197898)
(0.5375231698941261, 4.467576446354424, 2.006527921835051)
(0.3597077157720243, 4.625436532114527, 2.062719818095845)
(1.0923313864256095, 0.6592134682747388, 0.6597167976591414)
(1.1161449938351626, 2.8028816806565002, 1.462771300113757)
(1.278946119425573, 3.3990114690680735, 1.6528272483672306)
(1.1000187325058548, 4.662921385312137, 2.076306622905424)
(0.4796606815605565, 3.194492323599985, 1.5876356105524145)
(0.10401859649084941, 3.3699955027612822, 1.6435634122630045)
(0.09232803715679982, 5.908902602658324, 2.648476669835251)
(1.170586959032944, 2.131435513763629, 1.2434377483666312)
(0.4094679002672126, 1.0260995916912727, 0.8320219032742583)
(2.311631084259514, 3.5246704486696423, 1.693037992133638)
(1.157567722526744, 3.024518313540633, 1.5335217760438127)
(2.1493239822213828, 4.410109312764263, 1.9864427443966763)
(0.17980300476304328, 6.278362910374851, 3.0861776835631125)
(0.27707741718671225, 4.974510684329675, 2.193749231978967)
(0.1325431536260394, 3.945136900574399, 1.8294467263330656)
